"","timestamp","Corral.de.Barrancas.Wind.Speed..80.m.","Corral.de.Barrancas.Wind.Direction..80.m."
"201",2020-04-20 08:00:00,2.6208394,105.9454
"202",2020-04-20 09:00:00,0.71999997,180
"203",2020-04-20 10:00:00,0.71999997,180
"204",2020-04-20 11:00:00,3.6,180
"205",2020-04-20 12:00:00,5.315336,208.30077
"206",2020-04-20 13:00:00,7.7879906,236.30994
"207",2020-04-20 14:00:00,10.636766,246.0375
"208",2020-04-20 15:00:00,13.32,251.07536
"209",2020-04-20 16:00:00,14.408997,257.00537
"210",2020-04-20 17:00:00,13.797912,262.50415
"211",2020-04-20 18:00:00,12.964998,268.40887
"212",2020-04-20 19:00:00,11.901798,273.46823
"213",2020-04-20 20:00:00,8.905908,284.03625
"214",2020-04-20 21:00:00,4.6938257,302.4712
"215",2020-04-20 22:00:00,2.52,360
"216",2020-04-20 23:00:00,4.0249224,63.43495
"217",2020-04-21 00:00:00,5.8048253,82.874985
"218",2020-04-21 01:00:00,6.4799995,89.99999
"219",2020-04-21 02:00:00,7.072878,104.74355
"220",2020-04-21 03:00:00,7.5942082,121.429565
"221",2020-04-21 04:00:00,8.161764,138.57634
"222",2020-04-21 05:00:00,8.217153,151.18921
"223",2020-04-21 06:00:00,7.072878,165.25644
"225",2020-04-21 08:00:00,4.1046314,195.25513
"226",2020-04-21 09:00:00,4.0249224,206.56505
"227",2020-04-21 10:00:00,3.7585104,196.69925
"228",2020-04-21 11:00:00,3.0758414,200.55605
"229",2020-04-21 12:00:00,3.9763298,185.19443
"230",2020-04-21 13:00:00,5.8048253,172.87498
"231",2020-04-21 14:00:00,6.849467,176.98721
"232",2020-04-21 15:00:00,7.5942073,174.55966
"233",2020-04-21 16:00:00,8.473393,167.73523
"234",2020-04-21 17:00:00,10.144082,152.52557
"235",2020-04-21 18:00:00,12.096214,143.47115
"236",2020-04-21 19:00:00,15.30741,131.18591
"237",2020-04-21 20:00:00,11.304229,80.83765
"238",2020-04-21 21:00:00,13.627795,77.79953
"239",2020-04-21 22:00:00,11.367109,79.04594
"240",2020-04-21 23:00:00,11.212135,84.47246
"241",2020-04-22 00:00:00,11.159999,89.99999
"242",2020-04-22 01:00:00,12.015589,98.61565
"243",2020-04-22 02:00:00,11.631956,111.80141
"244",2020-04-22 03:00:00,10.296251,126.46923
"245",2020-04-22 04:00:00,8.891343,148.24051
"246",2020-04-22 05:00:00,6.4799995,180
"247",2020-04-22 06:00:00,5.6233797,230.19443
"248",2020-04-22 07:00:00,10.105681,265.91437
"249",2020-04-22 08:00:00,13.910169,280.43747
"250",2020-04-22 09:00:00,10.823973,273.8141
"251",2020-04-22 10:00:00,13.896187,286.55707
"252",2020-04-22 11:00:00,18.089775,301.1593
"253",2020-04-22 12:00:00,17.555307,298.1416
"254",2020-04-22 13:00:00,17.76081,287.70044
"255",2020-04-22 14:00:00,18.486622,276.70984
"256",2020-04-22 15:00:00,19.803272,271.04163
"257",2020-04-22 16:00:00,21.24305,269.029
"258",2020-04-22 17:00:00,23.4,270
