"","timestamp","Bimbaletes.Aguascalientes..El.Ã.lamo..Wind.Speed..80.m.","Bimbaletes.Aguascalientes..El.Ã.lamo..Wind.Direction..80.m."
"328",2020-04-25 15:00:00,16.135872,218.65982
"329",2020-04-25 16:00:00,17.339897,221.63354
"330",2020-04-25 17:00:00,17.826363,226.63658
"331",2020-04-25 18:00:00,18.440998,231.3402
"332",2020-04-25 19:00:00,18.775303,237.52881
"333",2020-04-25 20:00:00,18.79255,233.56915
"334",2020-04-25 21:00:00,13.746156,225
"335",2020-04-25 22:00:00,6.130579,176.63354
"336",2020-04-25 23:00:00,14.759999,102.680374
"337",2020-04-26 00:00:00,24.251284,95.964485
"338",2020-04-26 01:00:00,30.735231,95.3767
"339",2020-04-26 02:00:00,30.77105,96.04409
"340",2020-04-26 03:00:00,25.56,89.99999
"341",2020-04-26 04:00:00,23.110207,85.53283
"342",2020-04-26 05:00:00,22.963936,80.980675
"343",2020-04-26 06:00:00,22.180206,76.86598
"344",2020-04-26 07:00:00,20.176065,74.47588
"345",2020-04-26 08:00:00,11.27553,106.69924
"346",2020-04-26 09:00:00,10.365251,110.323135
"347",2020-04-26 10:00:00,13.104198,127.1847
"348",2020-04-26 11:00:00,13.217443,150.64224
"349",2020-04-26 12:00:00,9.531505,169.11447
"350",2020-04-26 13:00:00,5.04,180
"351",2020-04-26 14:00:00,0.5091169,225
"352",2020-04-26 15:00:00,2.0991426,30.963745
"353",2020-04-26 16:00:00,6.1305785,49.76364
"354",2020-04-26 17:00:00,10.144082,62.52556
"355",2020-04-26 18:00:00,15.629971,75.3236
"356",2020-04-26 19:00:00,25.455843,81.869896
"357",2020-04-26 20:00:00,27.51116,96.009
"358",2020-04-26 21:00:00,32.112724,93.8568
"359",2020-04-26 22:00:00,36.57501,96.21563
"360",2020-04-26 23:00:00,36.217144,96.27729
"361",2020-04-27 00:00:00,33.805515,97.95752
"362",2020-04-27 01:00:00,31.667723,98.49855
"363",2020-04-27 02:00:00,29.427662,97.73359
"364",2020-04-27 03:00:00,22.366402,93.69138
"365",2020-04-27 04:00:00,18.0036,91.14575
"366",2020-04-27 05:00:00,14.4,89.99999
"367",2020-04-27 06:00:00,11.885453,88.26429
"368",2020-04-27 07:00:00,10.086427,87.95459
"369",2020-04-27 08:00:00,8.287822,87.510445
"370",2020-04-27 09:00:00,5.8048253,97.125015
"371",2020-04-27 10:00:00,5.5887027,165.06857
